course_name,driver_id_1,name_1,rarity_1,special_skill_1,win_loss_1,driver_id_2,name_2,rarity_2,special_skill_2,win_loss_2,driver_id_3,name_3,rarity_3,special_skill_3,win_loss_3,driver_id_4,name_4,rarity_4,special_skill_4,win_loss_4,driver_id_5,name_5,rarity_5,special_skill_5,win_loss_5
N64 Royal Raceway R,51.0,Peach (Kimono),High-End,Mushroom Cannon,1,54.0,Peach (Vacation),High-End,Coin Box,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0
N64 Royal Raceway R/T,73.0,Builder Toad,High-End,Bob-omb Cannon,1,85.0,Peach (Halloween),High-End,Fire Flower,0,90.0,Cat Peach,High-End,Super Bell,0,94.0,Mario (Racing),High-End,Triple Mushrooms,0,95.0,White Yoshi,High-End,Triple Mushrooms,0
N64 Royal Raceway T,56.0,Pink Gold Peach,High-End,Coin Box,1,62.0,Peach (Wintertime),High-End,Dash Ring,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0,85.0,Peach (Halloween),High-End,Fire Flower,0
New York Minute 3,49.0,Pauline,High-End,Lucky Seven,1,59.0,Pauline (Party Time),High-End,Coin Box,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0,105.0,Dry Bones (Gold),High-End,Coin Box,0
New York Minute 3R,23.0,Luigi,Super,Fire Flower,1,28.0,Donkey Kong,Super,Giant Banana,0,50.0,Mario (Musician),High-End,Double Bob-ombs,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0
New York Minute 3T,22.0,Rosalina,Super,Dash Ring,1,49.0,Pauline,High-End,Lucky Seven,0,53.0,Rosalina (Halloween),High-End,Dash Ring,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,83.0,Mario (Sunshine),High-End,Giant Banana,0
Paris Promenade 2,65.0,Baby Peach (Cherub),High-End,Heart,1,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,75.0,Mario (Chef),High-End,Lucky Seven,0,111.0,Bowser Jr. (Pirate),High-End,Bob-omb Cannon,0
Paris Promenade 2R,5.0,Baby Luigi,Normal,Boomerang Flower,1,40.0,Hammer Bro,Super,Hammer,0,54.0,Peach (Vacation),High-End,Coin Box,0,91.0,Cat Toad,High-End,Super Bell,0,106.0,Funky Kong,High-End,Banana Barrels,0
Paris Promenade 2T,38.0,Pink Shy Guy,Super,Heart,1,85.0,Peach (Halloween),High-End,Fire Flower,0,87.0,Builder Luigi,High-End,Hammer,0,106.0,Funky Kong,High-End,Banana Barrels,0,117.0,Lakitu (Party Time),High-End,Lucky Seven,0
Paris Promenade R,38.0,Pink Shy Guy,Super,Heart,1,44.0,Birdo (Yellow),Super,Birdo's Egg,0,55.0,Mario (Santa),High-End,Fire Flower,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0
Paris Promenade T,30.0,Lakitu,Super,Triple Green Shells,1,31.0,Bowser Jr.,Super,Bowser's Shell,0,83.0,Mario (Sunshine),High-End,Giant Banana,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0
RMX Choco Island 1,44.0,Birdo (Yellow),Super,Birdo's Egg,1,56.0,Pink Gold Peach,High-End,Coin Box,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,74.0,Daisy (Fairy),High-End,Heat,0,75.0,Mario (Chef),High-End,Lucky Seven,0
RMX Choco Island 1R,62.0,Peach (Wintertime),High-End,Dash Ring,1,63.0,Penguin Luigi,High-End,Ice Flower,0,65.0,Baby Peach (Cherub),High-End,Heart,0,72.0,Builder Mario,High-End,Hammer,0,75.0,Mario (Chef),High-End,Lucky Seven,0
RMX Choco Island 1T,18.0,Yoshi,Super,Yoshi's Egg,1,19.0,Daisy,Super,Heart,0,45.0,Monty Mole,Super,Mushroom Cannon,0,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,83.0,Mario (Sunshine),High-End,Giant Banana,0
RMX Choco Island 2,74.0,Daisy (Fairy),High-End,Heat,1,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,79.0,Captain Toad,High-End,Hammer,0,90.0,Cat Peach,High-End,Super Bell,0,96.0,Baby Mario (Koala),High-End,Heart,0
RMX Choco Island 2R,56.0,Pink Gold Peach,High-End,Coin Box,1,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,103.0,Gold Koopa (Freerunning),High-End,Coin Box,0
RMX Choco Island 2T,65.0,Baby Peach (Cherub),High-End,Heart,1,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,92.0,Pauline (Rose),High-End,Fire Flower,0,93.0,Penguin Toad,High-End,Dash Ring,0
RMX Mario Circuit 1,26.0,Blue Yoshi,Super,Dash Ring,1,47.0,Metal Mario,High-End,Fire Flower,0,67.0,Mario (Classic),High-End,Triple Mushrooms,0,75.0,Mario (Chef),High-End,Lucky Seven,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0
RMX Mario Circuit 1R,41.0,Boomerang Bro,Super,Boomerang Flower,1,63.0,Penguin Luigi,High-End,Ice Flower,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0,67.0,Mario (Classic),High-End,Triple Mushrooms,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0
RMX Mario Circuit 1R/T,23.0,Luigi,Super,Fire Flower,1,52.0,Mario (Hakama),High-End,Coin Box,0,67.0,Mario (Classic),High-End,Triple Mushrooms,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0
RMX Mario Circuit 1T,41.0,Boomerang Bro,Super,Boomerang Flower,1,67.0,Mario (Classic),High-End,Triple Mushrooms,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,72.0,Builder Mario,High-End,Hammer,0,74.0,Daisy (Fairy),High-End,Heat,0
RMX Rainbow Road 1,60.0,Mario (Happi),High-End,Bob-omb Cannon,1,66.0,Rosalina (Aurora),High-End,Ice Flower,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0,88.0,Fire Rosalina,High-End,Fire Flower,0
RMX Rainbow Road 1R,47.0,Metal Mario,High-End,Fire Flower,1,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,81.0,Daisy (Yukata),High-End,Fire Flower,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0,92.0,Pauline (Rose),High-End,Fire Flower,0
RMX Rainbow Road 1R/T,63.0,Penguin Luigi,High-End,Ice Flower,1,73.0,Builder Toad,High-End,Bob-omb Cannon,0,87.0,Builder Luigi,High-End,Hammer,0,88.0,Fire Rosalina,High-End,Fire Flower,0,90.0,Cat Peach,High-End,Super Bell,0
RMX Rainbow Road 1T,50.0,Mario (Musician),High-End,Double Bob-ombs,1,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,63.0,Penguin Luigi,High-End,Ice Flower,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,81.0,Daisy (Yukata),High-End,Fire Flower,0
RMX Rainbow Road 2,76.0,Peach (Wedding),High-End,Triple Mushrooms,1,85.0,Peach (Halloween),High-End,Fire Flower,0,90.0,Cat Peach,High-End,Super Bell,0,92.0,Pauline (Rose),High-End,Fire Flower,0,116.0,Bowser (Santa),High-End,Coin Box,0
RMX Rainbow Road 2R,16.0,Mario,Super,Fire Flower,1,22.0,Rosalina,Super,Dash Ring,0,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,59.0,Pauline (Party Time),High-End,Coin Box,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0
RMX Rainbow Road 2T,65.0,Baby Peach (Cherub),High-End,Heart,1,82.0,Mario (SNES),High-End,Triple Mushrooms,0,83.0,Mario (Sunshine),High-End,Giant Banana,0,84.0,Mario (Halloween),High-End,Lucky Seven,0,92.0,Pauline (Rose),High-End,Fire Flower,0
SNES Choco Island 1,49.0,Pauline,High-End,Lucky Seven,1,75.0,Mario (Chef),High-End,Lucky Seven,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,105.0,Dry Bones (Gold),High-End,Coin Box,0,110.0,Nabbit,High-End,Wild West Tour,0
SNES Choco Island 1R,48.0,Peachette,High-End,Mushroom Cannon,1,65.0,Baby Peach (Cherub),High-End,Heart,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,103.0,Gold Koopa (Freerunning),High-End,Coin Box,0,113.0,Donkey Kong Jr. (SNES),High-End,Triple Bananas,0
SNES Choco Island 1T,37.0,Birdo,Super,Birdo's Egg,1,65.0,Baby Peach (Cherub),High-End,Heart,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,87.0,Builder Luigi,High-End,Hammer,0,92.0,Pauline (Rose),High-End,Fire Flower,0
SNES Choco Island 2,15.0,Wendy,Normal,Heart,1,53.0,Rosalina (Halloween),High-End,Dash Ring,0,65.0,Baby Peach (Cherub),High-End,Heart,0,74.0,Daisy (Fairy),High-End,Heat,0,75.0,Mario (Chef),High-End,Lucky Seven,0
SNES Choco Island 2R,9.0,Iggy,Normal,Triple Green Shells,1,31.0,Bowser Jr.,Super,Bowser's Shell,0,74.0,Daisy (Fairy),High-End,Heat,0,75.0,Mario (Chef),High-End,Lucky Seven,0,83.0,Mario (Sunshine),High-End,Giant Banana,0
SNES Choco Island 2R/T,37.0,Birdo,Super,Birdo's Egg,1,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,72.0,Builder Mario,High-End,Hammer,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,74.0,Daisy (Fairy),High-End,Heat,0
SNES Choco Island 2T,4.0,Baby Rosalina,Normal,Bubble,1,32.0,Wario,Super,Double Bob-ombs,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0
SNES Donut Plains 1,41.0,Boomerang Bro,Super,Boomerang Flower,1,45.0,Monty Mole,Super,Mushroom Cannon,0,75.0,Mario (Chef),High-End,Lucky Seven,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,107.0,Dixie Kong,High-End,Triple Bananas,0
SNES Donut Plains 1R,20.0,Toad,Super,Triple Mushrooms,1,45.0,Monty Mole,Super,Mushroom Cannon,0,50.0,Mario (Musician),High-End,Double Bob-ombs,0,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,65.0,Baby Peach (Cherub),High-End,Heart,0
SNES Donut Plains 1R/T,48.0,Peachette,High-End,Mushroom Cannon,1,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,68.0,Luigi (Classic),High-End,Lucky Seven,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,75.0,Mario (Chef),High-End,Lucky Seven,0
SNES Donut Plains 1T,36.0,Red Koopa (Freerunning),Super,Fire Flower,1,40.0,Hammer Bro,Super,Hammer,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,103.0,Gold Koopa (Freerunning),High-End,Coin Box,0,107.0,Dixie Kong,High-End,Triple Bananas,0
SNES Donut Plains 2,65.0,Baby Peach (Cherub),High-End,Heart,1,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,90.0,Cat Peach,High-End,Super Bell,0,112.0,King Bob-omb,High-End,Pirate Tour,0,120.0,King Bob-omb (Gold),High-End,Coin Box,0
SNES Donut Plains 2R,37.0,Birdo,Super,Birdo's Egg,1,64.0,Ice Mario,High-End,Ice Flower,0,65.0,Baby Peach (Cherub),High-End,Heart,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0
SNES Donut Plains 2R/T,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,1,65.0,Baby Peach (Cherub),High-End,Heart,0,92.0,Pauline (Rose),High-End,Fire Flower,0,93.0,Penguin Toad,High-End,Dash Ring,0,118.0,Birdo (Black),High-End,Bob-omb Cannon,0
SNES Donut Plains 2T,63.0,Penguin Luigi,High-End,Ice Flower,1,83.0,Mario (Sunshine),High-End,Giant Banana,0,92.0,Pauline (Rose),High-End,Fire Flower,0,117.0,Lakitu (Party Time),High-End,Lucky Seven,0,119.0,Shy Guy Ninja,High-End,Boomerang Flower,0
SNES Ghost Valley 1,23.0,Luigi,Super,Fire Flower,1,38.0,Pink Shy Guy,Super,Heart,0,53.0,Rosalina (Halloween),High-End,Dash Ring,0,85.0,Peach (Halloween),High-End,Fire Flower,0,88.0,Fire Rosalina,High-End,Fire Flower,0
SNES Ghost Valley 1R,34.0,King Boo,Super,Lucky Seven,1,39.0,Birdo (Light Blue),Super,Birdo's Egg,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0
SNES Ghost Valley 1R/T,34.0,King Boo,Super,Lucky Seven,1,35.0,Black Shy Guy,Super,Bob-omb Cannon,0,81.0,Daisy (Yukata),High-End,Fire Flower,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0
SNES Ghost Valley 1T,30.0,Lakitu,Super,Triple Green Shells,1,35.0,Black Shy Guy,Super,Bob-omb Cannon,0,53.0,Rosalina (Halloween),High-End,Dash Ring,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0
SNES Koopa Troopa Beach 2,45.0,Monty Mole,Super,Mushroom Cannon,1,63.0,Penguin Luigi,High-End,Ice Flower,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,79.0,Captain Toad,High-End,Hammer,0,105.0,Dry Bones (Gold),High-End,Coin Box,0
SNES Koopa Troopa Beach 2R,25.0,Red Yoshi,Super,Yoshi's Egg,1,32.0,Wario,Super,Double Bob-ombs,0,36.0,Red Koopa (Freerunning),Super,Fire Flower,0,46.0,Green Shy Guy,Super,Triple Green Shells,0,78.0,Mario (Swimwear),High-End,Dash Ring,0
SNES Koopa Troopa Beach 2T,64.0,Ice Mario,High-End,Ice Flower,1,71.0,Black Yoshi,High-End,Double Bob-ombs,0,72.0,Builder Mario,High-End,Hammer,0,78.0,Mario (Swimwear),High-End,Dash Ring,0,81.0,Daisy (Yukata),High-End,Fire Flower,0
SNES Mario Circuit 1,16.0,Mario,Super,Fire Flower,1,24.0,Toad (Pit Crew),Super,Boomerang Flower,0,36.0,Red Koopa (Freerunning),Super,Fire Flower,0,48.0,Peachette,High-End,Mushroom Cannon,0,52.0,Mario (Hakama),High-End,Coin Box,0
SNES Mario Circuit 1R,35.0,Black Shy Guy,Super,Bob-omb Cannon,1,54.0,Peach (Vacation),High-End,Coin Box,0,55.0,Mario (Santa),High-End,Fire Flower,0,78.0,Mario (Swimwear),High-End,Dash Ring,0,84.0,Mario (Halloween),High-End,Lucky Seven,0
SNES Mario Circuit 1R/T,20.0,Toad,Super,Triple Mushrooms,1,36.0,Red Koopa (Freerunning),Super,Fire Flower,0,55.0,Mario (Santa),High-End,Fire Flower,0,64.0,Ice Mario,High-End,Ice Flower,0,72.0,Builder Mario,High-End,Hammer,0
SNES Mario Circuit 1T,1.0,Baby Mario,Normal,Boomerang Flower,1,17.0,Peach,Super,Heart,0,45.0,Monty Mole,Super,Mushroom Cannon,0,52.0,Mario (Hakama),High-End,Coin Box,0,72.0,Builder Mario,High-End,Hammer,0
SNES Mario Circuit 2,24.0,Toad (Pit Crew),Super,Boomerang Flower,1,52.0,Mario (Hakama),High-End,Coin Box,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,67.0,Mario (Classic),High-End,Triple Mushrooms,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0
SNES Mario Circuit 2R,47.0,Metal Mario,High-End,Fire Flower,1,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,68.0,Luigi (Classic),High-End,Lucky Seven,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0
SNES Mario Circuit 2R/T,39.0,Birdo (Light Blue),Super,Birdo's Egg,1,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,63.0,Penguin Luigi,High-End,Ice Flower,0,64.0,Ice Mario,High-End,Ice Flower,0,65.0,Baby Peach (Cherub),High-End,Heart,0
SNES Mario Circuit 2T,11.0,Lemmy,Normal,Bubble,1,24.0,Toad (Pit Crew),Super,Boomerang Flower,0,30.0,Lakitu,Super,Triple Green Shells,0,67.0,Mario (Classic),High-End,Triple Mushrooms,0,68.0,Luigi (Classic),High-End,Lucky Seven,0
SNES Mario Circuit 3,24.0,Toad (Pit Crew),Super,Boomerang Flower,1,50.0,Mario (Musician),High-End,Double Bob-ombs,0,54.0,Peach (Vacation),High-End,Coin Box,0,78.0,Mario (Swimwear),High-End,Dash Ring,0,84.0,Mario (Halloween),High-End,Lucky Seven,0
SNES Mario Circuit 3R,21.0,Toadette,Super,Triple Mushrooms,1,40.0,Hammer Bro,Super,Hammer,0,52.0,Mario (Hakama),High-End,Coin Box,0,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,79.0,Captain Toad,High-End,Hammer,0
SNES Mario Circuit 3R/T,16.0,Mario,Super,Fire Flower,1,17.0,Peach,Super,Heart,0,40.0,Hammer Bro,Super,Hammer,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,75.0,Mario (Chef),High-End,Lucky Seven,0
SNES Mario Circuit 3T,30.0,Lakitu,Super,Triple Green Shells,1,39.0,Birdo (Light Blue),Super,Birdo's Egg,0,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,68.0,Luigi (Classic),High-End,Lucky Seven,0
SNES Rainbow Road,22.0,Rosalina,Super,Dash Ring,1,47.0,Metal Mario,High-End,Fire Flower,0,59.0,Pauline (Party Time),High-End,Coin Box,0,64.0,Ice Mario,High-End,Ice Flower,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0
SNES Rainbow Road R,11.0,Lemmy,Normal,Bubble,1,55.0,Mario (Santa),High-End,Fire Flower,0,64.0,Ice Mario,High-End,Ice Flower,0,65.0,Baby Peach (Cherub),High-End,Heart,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0
SNES Rainbow Road R/T,22.0,Rosalina,Super,Dash Ring,1,53.0,Rosalina (Halloween),High-End,Dash Ring,0,56.0,Pink Gold Peach,High-End,Coin Box,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0
SNES Rainbow Road T,4.0,Baby Rosalina,Normal,Bubble,1,47.0,Metal Mario,High-End,Fire Flower,0,55.0,Mario (Santa),High-End,Fire Flower,0,56.0,Pink Gold Peach,High-End,Coin Box,0,82.0,Mario (SNES),High-End,Triple Mushrooms,0
SNES Vanilla Lake 1,11.0,Lemmy,Normal,Bubble,1,63.0,Penguin Luigi,High-End,Ice Flower,0,64.0,Ice Mario,High-End,Ice Flower,0,74.0,Daisy (Fairy),High-End,Heat,0,107.0,Dixie Kong,High-End,Triple Bananas,0
SNES Vanilla Lake 1R,42.0,Ice Bro,Super,Ice Flower,1,64.0,Ice Mario,High-End,Ice Flower,0,74.0,Daisy (Fairy),High-End,Heat,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0,111.0,Bowser Jr. (Pirate),High-End,Bob-omb Cannon,0
SNES Vanilla Lake 1R/T,42.0,Ice Bro,Super,Ice Flower,1,66.0,Rosalina (Aurora),High-End,Ice Flower,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,74.0,Daisy (Fairy),High-End,Heat,0,78.0,Mario (Swimwear),High-End,Dash Ring,0
SNES Vanilla Lake 1T,31.0,Bowser Jr.,Super,Bowser's Shell,1,55.0,Mario (Santa),High-End,Fire Flower,0,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,93.0,Penguin Toad,High-End,Dash Ring,0
Tokyo Blur,24.0,Toad (Pit Crew),Super,Boomerang Flower,1,52.0,Mario (Hakama),High-End,Coin Box,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,81.0,Daisy (Yukata),High-End,Fire Flower,0,111.0,Bowser Jr. (Pirate),High-End,Bob-omb Cannon,0
Tokyo Blur 3R,30.0,Lakitu,Super,Triple Green Shells,1,52.0,Mario (Hakama),High-End,Coin Box,0,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,81.0,Daisy (Yukata),High-End,Fire Flower,0
Tokyo Blur 3T,51.0,Peach (Kimono),High-End,Mushroom Cannon,1,52.0,Mario (Hakama),High-End,Coin Box,0,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0
Tokyo Blur 4,26.0,Blue Yoshi,Super,Dash Ring,1,81.0,Daisy (Yukata),High-End,Fire Flower,0,91.0,Cat Toad,High-End,Super Bell,0,94.0,Mario (Racing),High-End,Triple Mushrooms,0,95.0,White Yoshi,High-End,Triple Mushrooms,0
Tokyo Blur 4R,47.0,Metal Mario,High-End,Fire Flower,1,62.0,Peach (Wintertime),High-End,Dash Ring,0,93.0,Penguin Toad,High-End,Dash Ring,0,115.0,King Boo (Gold),High-End,Coin Box,0,117.0,Lakitu (Party Time),High-End,Lucky Seven,0
Tokyo Blur 4T,60.0,Mario (Happi),High-End,Bob-omb Cannon,1,67.0,Mario (Classic),High-End,Triple Mushrooms,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,87.0,Builder Luigi,High-End,Hammer,0,92.0,Pauline (Rose),High-End,Fire Flower,0
Tokyo Blur R,51.0,Peach (Kimono),High-End,Mushroom Cannon,1,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,111.0,Bowser Jr. (Pirate),High-End,Bob-omb Cannon,0
Tokyo Blur T,51.0,Peach (Kimono),High-End,Mushroom Cannon,1,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,74.0,Daisy (Fairy),High-End,Heat,0,109.0,Wario (Cowboy),High-End,Fire Flower,0
Vancouver Velocity R,42.0,Ice Bro,Super,Ice Flower,1,66.0,Rosalina (Aurora),High-End,Ice Flower,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0,108.0,Dry Bowser (Gold),High-End,Bob-omb Cannon,0,114.0,Shy Guy (Gold),High-End,Giga Bob-omb,0
Vancouver Velocity T,37.0,Birdo,Super,Birdo's Egg,1,64.0,Ice Mario,High-End,Ice Flower,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,83.0,Mario (Sunshine),High-End,Giant Banana,0
Wii DK Summit,80.0,Toadette (Explorer),High-End,Double Bob-ombs,1,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,93.0,Penguin Toad,High-End,Dash Ring,0,112.0,King Bob-omb,High-End,Pirate Tour,0,113.0,Donkey Kong Jr. (SNES),High-End,Triple Bananas,0
Wii DK Summit R,71.0,Black Yoshi,High-End,Double Bob-ombs,1,75.0,Mario (Chef),High-End,Lucky Seven,0,79.0,Captain Toad,High-End,Hammer,0,84.0,Mario (Halloween),High-End,Lucky Seven,0,113.0,Donkey Kong Jr. (SNES),High-End,Triple Bananas,0
Wii DK Summit T,73.0,Builder Toad,High-End,Bob-omb Cannon,1,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,94.0,Mario (Racing),High-End,Triple Mushrooms,0,96.0,Baby Mario (Koala),High-End,Heart,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0
Wii Maple Treeway,61.0,Toad (Party Time),High-End,Mushroom Cannon,1,74.0,Daisy (Fairy),High-End,Heat,0,84.0,Mario (Halloween),High-End,Lucky Seven,0,90.0,Cat Peach,High-End,Super Bell,0,92.0,Pauline (Rose),High-End,Fire Flower,0
Wii Maple Treeway R,25.0,Red Yoshi,Super,Yoshi's Egg,1,46.0,Green Shy Guy,Super,Triple Green Shells,0,53.0,Rosalina (Halloween),High-End,Dash Ring,0,54.0,Peach (Vacation),High-End,Coin Box,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0
Wii Maple Treeway T,68.0,Luigi (Classic),High-End,Lucky Seven,1,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,85.0,Peach (Halloween),High-End,Fire Flower,0,87.0,Builder Luigi,High-End,Hammer,0,88.0,Fire Rosalina,High-End,Fire Flower,0
